word,count
equal-styled,77
bardfield,5
vel,9
primrose,98
considered,11
resembles,13
england,12
living,11
attention,6
north,10
germany,11
maximum,95
minimum,47
61,16
37,9
121,6
355,5
judge,14
75,19
counted,16
altogether,19
78,10
herr,5
breitenbach,4
sites,5
411,5
equal-,11
heard,4
appearing,4
rare,14
magnified,6
edinburgh,9
56,21
took,8
chance,5
79,8
40,6
consisted,29
96,7
five,90
measurements,22
conspicuously,12
broad,4
soaked,10
decidedly,6
broader,6
lot,26
nine,25
43,15
60,15
day,8
lepidoptera,4
circumstances,14
fourteen,14
received,18
corresponding,40
reversed,6
varies,16
characters,17
divisions,10
breadth,5
whereas,17
paper,16
mistake,9
57,11
remarked,11
done,9
white-flowered,5
projected,7
differs,24
122,4
110,10
ascertained,6
32,13
84,11
account,17
kept,19
hand,39
gives,9
besides,16
inferred,5
mine,7
element,5
unfavourable,13
tables,22
point,18
hildebrand's,5
72,18
ascertain,8
147,5
showing,10
properly,19
116,5
times,20
bottom,4
saw,8
falling,4
brush,6
neither,9
ever,9
explanation,4
force,5
capacity,7
descended,20
produces,18
73,5
98,8
52,9
zeitschrift',4
amongst,5
distributed,7
inequality,8
barely,5
triangular,4
similar,21
86,16
reach,8
consulted,4
80,13
sikkimensis,7
95,7
cortusoides,5
usual,16
involucrata,5
apex,5
112,11
accuracy,4
varied,23
accidental,10
source,6
error,7
supposing,5
assume,6
anything,5
need,6
look,8
correspondence,8
rows,4
cent,69
deserves,9
infertility,9
36,9
119,7
elements,17
receiving,4
efficient,6
directly,4
sight,8
adaptation,10
liability,6
receive,12
allowed,9
notwithstanding,6
gave,16
believes,6
scotica,4
elata,5
mollis,5
stricta,6
experimented,10
heterostylism,10
member,7
enclosed,22
project,16
outwards,5
explain,4
stigmatic,17
thicker,4
diameters,12
chiefly,10
diptera,6
113,8
775,5
unusually,4
says,21
85,4
agrees,4
157,5
torrey,6
inflata,4
inhabitant,7
botanic,10
gardens,13
able,7
examine,8
sent,38
south,14
believed,4
detect,10
rank,5
statements,10
appeared,27
parent-species,16
throughout,7
europe,7
extraordinary,16
twenty-five,9
soc,6
bot,10
de,19
france',6
frequent,6
districts,9
frequently,6
occurs,14
owing,18
intermediate,33
reverend,7
'annals,4
magazine,4
history',5
1848,6
164,5
habitually,10
depend,5
emit,10
55,12
inhabits,5
grows,12
banks,4
range,4
bromfield,4
absent,9
northern,4
'phytologist',6
'geograph,4
l'europe',4
141,4
144,4
centre,8
la,7
hc,5
watson,7
mutually,5
got,5
certainly,24
inter,8
se,8
'proceedings,6
botany,4
conclusion,15
liable,10
sown,12
group,5
identical,7
red,10
colour,29
difficulty,19
inhabit,7
fixed,5
strong,4
gradation,5
statement,10
value,4
experiment,16
say,6
strange,4
passed,5
isolated,10
217,4
expect,7
parent-forms,7
henslow,7
light,13
anomalous,6
changed,10
resembled,15
scapes,4
bearing,23
deeply,7
presumed,4
planted,9
difficult,13
understand,8
'transactions,4
recorded,5
improbable,5
parentage,9
strongly,17
variation,11
resembling,4
birth,6
leading,6
land,6
procured,7
parents,32
presented,7
attaining,6
course,23
law,6
regard,7
rise,4
finer,4
becomes,4
side,15
discover,5
lastly,21
points,14
214,5
215,8
218,6
twenty,15
seasons,18
wretched,5
incapable,4
germination,4
23,17
38,20
premise,7
cells,9
fifth,8
deteriorated,5
moderate,8
29,12
rule,32
particular,14
thrown,4
yellow,26
uncovered,14
surrounded,9
mistaken,6
inches,5
extremely,27
trace,11
surrounding,8
house,4
parent-plants,5
country,7
grow,10
conjecture,5
frequented,5
c,5
calyx,25
babington,4
'manual,4
pollen-grain,4
majority,5
freely,32
repeatedly,9
manifest,5
peculiarities,5
extreme,17
max,4
wichura,4
1865,29
spontaneous,4
originated,7
thapsus,17
differed,19
attained,13
search,4
removed,10
thirty-three,4
stem,4
surface,12
filaments,35
circumstance,6
yellow-flowered,10
inclined,4
correa,4
guided,4
movement,5
surprise,5
thread,4
slight,21
caused,5
collecting,4
elsewhere,5
vigorous,4
1876,11
89,4
generation,17
belonged,14
absolute,9
graduated,9
selected,7
ease,4
exceptions,7
evidently,6
greatest,6
self-sterile,8
fagopyrum,13
rubiaceae,23
mitchella,13
houstonia,8
faramea,12
original,8
l,45
flavum,6
thirty,7
styles,12
diverge,7
lie,5
upright,4
alternate,4
projecting,6
reaching,4
divergence,4
bases,4
surfaces,11
crowded,4
stated,15
late,7
summer,6
vast,4
swell,4
branches,9
touched,4
multitude,9
partly,4
nineteen,9
immediately,5
suspect,8
away,6
quantity,6
brought,15
seventeen,13
climate,4
prevent,6
adjoining,8
transported,4
suspicion,4
penetrated,15
pollen-tubes,9
discoloured,8
twisted,9
repeated,9
tubes,44
expected,13
emitted,9
sure,11
anther,11
placing,4
put,4
interval,5
days,9
straight,8
tissue,9
twenty-two,4
fresh,7
curled,4
pink,6
penetrate,6
mutual,5
simple,7
existing,6
face,4
correspond,14
pretend,4
decide,7
thirteen,8
contrast,5
lead,4
entirely,5
carriers,4
fitted,4
absence,5
workers,4
rotation,4
backs,4
style,22
turn,6
october,6
lost,7
drops,5
secreted,6
insert,4
upwards,11
brushed,6
dusted,5
upturned,7
austriacum,4
drawings,7
arranged,7
adhere,9
insect's,4
body,7
rotate,4
heads,11
botanical,5
works,4
opening,4
understanding,5
planchon,6
bot',4
1856,7
positively,5
possessed,11
hooker's,4
journal,9
provided,7
america,8
angustifolium,5
catharticum,4
suspected,4
science',7
boragineae,8
186,4
fruits,15
130,8
0,221
downwards,7
doors,6
tendency,19
self-fertile,6
isle,4
wight,5
doubts,5
thirty-six,4
320,5
son,20
william,4
largest,6
smallest,6
115,6
shrivelled,22
came,5
line,5
vestige,5
138,4
incessantly,4
highest,4
two-thirds,5
evident,4
protection,5
examination,4
amsinckia,4
spectabilis,4
raising,4
convinced,4
arvensis,6
echium,4
vulgare,6
polygonaceae,4
dehisced,6
perceive,5
82,9
imperfect,8
flower-head,5
dozen,10
burnettiana,5
acuminata,8
101,6
kew,14
tips,7
supported,8
free,4
mean,7
omitted,5
sole,6
leucosmia,6
organ,5
menyanthes,10
gentianeae,5
limnanthemum,10
indicum,5
thwaites,7
ceylon,4
send,4
spirits,4
villarsia,8
[sp],11
ovary,5
salicaria,49
forsythia,7
suspensa,5
american,11
divergent,6
87,8
longest,90
94,6
cordia,6
gilia,9
pulchella,4
polemoniaceae,4
incipient,4
g,8
academy,4
june,6
1870,5
exserted,16
beyond,8
gained,5
pair,5
actually,4
mind,4
micrantha,6
phlox,7
subulata,7
cell,4
family,16
opposed,5
becoming,13
remain,6
erythroxylum,5
one-fourth,4
sethia,7
f,4
cratoxylon,5
formosum,4
aegiphila,7
verbenaceae,5
bush,8
brown,5
strictly,12
bushes,28
berries,9
46,9
borreria,6
sp,15
abundant,6
hairs,13
hairy,4
sides,6
acquired,15
beneficial,11
useless,4
perfection,4
wonderful,4
agency,5
1866,24
habits,4
exceed,4
coerulea,4
wholly,5
oldenlandia,5
india,4
deduced,4
hedyotis,6
delicate,5
small-sized,4
coccocypselum,5
lipostoma,4
one-third,6
cinchona,4
unequal,8
bicolor,4
hothouse,5
'bulletin,7
feel,7
tribes,4
independently,8
inherited,4
progenitors,4
informed,5
members,4
mid-styled,179
thymifolia,6
nesaea,6
lagerstroemia,6
oxalis,79
valdiviana,10
speciosa,13
pontederia,19
410,4
includes,5
lengths,11
mid-length,80
shortest,87
wirtgen,5
folded,5
row,5
explained,4
green,20
bent,12
835,4
bears,13
97,9
mid-,15
151,6
record,6
parent-form,6
passage,8
along,4
narrow,4
rectangularly,4
simultaneously,8
nectary,7
aquatica,4
rubbed,4
observe,7
selection,7
modification,5
system,4
process,4
buds,6
ripe,4
application,5
life,10
423,5
-,23
percent,9
104,4
131,5
crop,6
yields,4
424,4
109,4
excluding,10
136,7
"""white",4
remember,5
425,7
direct,4
incidental,7
changes,5
lesser,6
direction,4
well-developed,7
localities,5
1857,4
southern,7
indica,4
calcutta,4
parviflora,4
mollia,4
stood,8
akad,5
berlin',5
106,4
636,4
rosea,6
purchased,4
succeeded,5
biophytum,4
acetosella,11
exceeded,12
distant,5
violet,4
originally,4
123,5
growth,10
continued,5
percentage,6
weak,4
contabescent,22
[plant,8
remote,4
brother,4
flowering,10
superfluous,7
seeds],5
analogy,6
reproduce,6
specified,4
mostly,4
68,5
consideration,4
suggested,5
530,5
abnormal,8
relationship,4
grandchildren,16
gardener,4
lived,6
reverted,4
loss,7
marriage,5
531,5
sixteen,5
diminished,6
parent-plant,6
purple-,6
162,4
winter,4
reproduction,5
inheritance,5
prepotency,5
obscure,4
final,5
whenever,6
suteria,4
'sull',5
opera,5
distribuzione,5
dei,5
sessi,5
nelle,5
piante',4
datura,4
whatever,4
progenitor,7
spread,4
facilities,4
leguminosae,5
dichogamous,4
happen,5
step,4
specially,8
unknown,4
functions,4
ants,4
euonymus,9
fragaria,6
epigaea,6
ilex,6
thymus,10
satureia,5
scabiosa,5
increase,4
serratula,5
tinctoria,4
anemophilous,6
coprosma,5
examining,4
spindle-tree,4
polleniferous,19
strawberry,5
catharticus,10
lanceolatus,4
r,5
serpyllum,10
hortensis,4
nepeta,4
glechoma,4
dracocephalum,4
torquay,4
france,4
succisa,5
plantago,8
lanceolata,5
cnicus,4
eriophorum,4
vandellia,8
ononis,10
impatiens,11
drosera,5
leersia,13
coats,6
subularia,4
air,4
native,5
arachis,5
stellaria,4
acanthaceae,6
ascherson,4
oxybaphus,4
nyctaginia,4
pavonia,4
thelymitra,5
epidendron,4
cattleya,4
duval-jouve,5
cryptostachys,5
linaria,5
eranthemum,4
specularia,8
campanula,8
malpighiaceae,6
lathyrus,4
voandzeia,6
juncus,7
hordeum,7
monochoria,5
canina,6
scales,5
membranous,4
michalet,8
odorata,6
hirta,6
nana,4
indian,4
nummularifolia,4
fulva,5
bennett,7
noli-me-tangere,4
balsamina,4
opened,4
perfoliata,4
fluid,4
glands,4
bufonius,5
panicles,4
oryzoides,5
--,114
